項次,案號,會勘事由,會勘時間,主持人,聯絡人,與會單位,會勘地點,三米直規平整度,會勘結論,會勘說明
48,2796,「中油管線108年度開挖驗證暨管深建立工程」案道路挖掘復原會勘,民國108年10月28日10時00分,土木科,董月婷(單一登入),台灣中油公司油品行銷事業部高雄營業處、金湖鎮公所、觀光處,金港路                                                                                                                                                                                                     ,0,合格，核可文號,一、有關「中油管線108年度開挖驗證暨管線建立工程」道路挖掘已依規定完成道路復原，如實地照片。  二、金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                           
49,2825,道路復,民國109年01月20日14時10分,董月婷,董月婷,台電,金寧鄉                                                                                                                                                                                                     ,-3,合格，核可文號,無資料
50,2827,完工會勘,民國110年05月19日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,何浦國小往環島北路路上                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
51,2856,「金門縣港務處水頭港區用戶光纖電纜增設工程」等16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,金城鎮                                                                                                                                                                                                     ,0,合格，核可文號,依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
52,2858,「金門縣港務處水頭港區用戶光纖電纜增設工程」等16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,金城鎮                                                                                                                                                                                                     ,0,合格，核可文號,依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
53,2866,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,模範街                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
54,2885,道路復原,民國109年01月20日14時10分,董月婷,董月婷,台電，金寧鄉公所，觀光處,金寧鄉頂堡246.247號                                                                                                                                                                                           ,-3,合格，核可文號,無資料
55,2912,「金湖鎮成功7-5號預埋地下管線工程」等16案道路挖掘復原會勘,民國109年05月06日10時00分,土木科,董月婷(單一登入),台電金門區處，金湖鎮公所，觀光處,金湖鎮自強路                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
56,2914,「金湖鎮成功7-5號預埋地下管線工程」等16案道路挖掘復原會勘,民國109年05月06日10時00分,土木科,董月婷(單一登入),台電金門區處，金湖鎮公所，觀光處,市港路                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
57,2916,「金城鎮民生路70號預埋地下管線工程」等12案道路挖掘復原會勘,民國109年03月19日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,西海路二段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
58,2919,「金寧鄉寧山段942-1地號預埋地下管線工程」案道路挖掘復原會勘,民國109年01月20日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,慈湖路一段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
59,2921,「金寧鄉寧山段942-1地號預埋地下管線工程」案道路挖掘復原會勘,民國109年01月20日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,瓊安路                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
60,2922,「金寧鄉寧山段942-1地號預埋地下管線工程」案道路挖掘復原會勘,民國109年01月20日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,下埔下61-1號                                                                                                                                                                                                ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
61,2923,「金寧鄉寧山段942-1地號預埋地下管線工程」案道路挖掘復原會勘,民國109年01月20日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,北山                                                                                                                                                                                                      ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
62,2929,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,伯玉路一段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
63,2930,「金門縣港務處水頭港區用戶光纖電纜增設工程」第16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷,中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,金城鎮                                                                                                                                                                                                     ,0,合格，核可文號,依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
64,2932,「金湖鎮成功7-5號預埋地下管線工程」等16案道路挖掘復原會勘,民國109年05月06日10時00分,土木科,董月婷(單一登入),台電金門區處，金湖鎮公所，觀光處,環島南路三段                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
65,2933,「金湖鎮成功7-5號預埋地下管線工程」等16案道路挖掘復原會勘,民國109年05月06日10時00分,土木科,董月婷(單一登入),台電金門區處，金湖鎮公所，觀光處,環島南路四段                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
66,2952,完工會勘,民國110年03月12日14時30分,董月婷,董月婷,金寧鄉公所、觀光處,后盤山、后沙                                                                                                                                                                                                  ,0,不合格：改善期限：110/04/20,1.后盤山村內道路已完成道路復原 ，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。   2.后沙村內道路，部份PC路面已剝落，請改善 。                                                                                                             
67,2952,缺失改善會勘,民國110年04月27日14時30分,董月婷,董月婷,金寧鄉公所、觀光處,后沙                                                                                                                                                                                                      ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
68,2955,「金寧鄉寧山段942-1地號預埋地下管線工程」案道路挖掘復原會勘,民國109年01月20日10時00分,土木科,董月婷(單一登入),台電金門區處，金寧鄉公所，觀光處,慈湖路二段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原。                                                                                                                                                                                             
69,2964,完工會勘,民國109年01月20日14時10分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,下堡247.248號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
70,2971,完工會勘,民國109年03月19日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,中一段27地號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
71,2972,完工會勘,民國109年01月20日14時10分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,東坑12.12-1號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
72,2983,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,下堡24-3號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
73,3008,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,下后垵8號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
74,3019,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,官澳82號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
75,3020,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后322號                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
76,3032,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,沙劃段822.849地號                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
77,3041,完工,民國111年08月26日16時30分,董月婷,董月婷,建設處，金城鎮公所，觀光處,城中往雄獅堡                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
78,3043,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,民權路226巷4弄10號                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
79,3059,完工會勘,民國109年10月29日14時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,后沙155號                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
80,3061,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,沙美34號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
81,3065,完工會勘,民國110年05月11日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,何浦國小後路口.陽翟往碧山路段                                                                                                                                                                                         ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
82,3068,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,后豐港32-3號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
83,3069,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,安岐351.352號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
